name,rating,processor,quad,ram,internal,graphic,os,screen,warrenty,price
Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),64,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Intel UHD,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹35,990"
Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹62,990"
Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),70,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹53,990"
HP 245 G8 689T5PA Laptop (Ryzen 5 5500/ 8GB/ 512GB SSD/ Win 11 Home),60,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,Windows 11 OS,"14 inches, 1366 x 768 pixels",1 Year Warranty,"₹28,990"
Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),26,MediaTek MTK8788,Octa Core,4 GB LPDDR4 RAM,64 GB Hard Disk,ARM Mali G72,Android 11 OS,"11.6 inches, 1366 x 768 pixels",1 Year Warranty,"₹14,990"
Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),71,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹49,990"
Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,Windows 11 OS,"14 inches, 1366 x 768 pixels",1 Year Warranty,"₹1,08,000"
Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),66,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹70,990"
HP Victus 16-r0075TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),72,13th Gen Intel Core i5 13500HX,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,"16.1 inches, 1920 x 1080 pixels",1 Year Warranty,"₹86,261"
Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11),59,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹49,990"
Zebronics Pro Series Z ZEB-NBC 3S 2023 Laptop (12th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹33,990"
Asus ROG Strix G16 2023 G614JJ-N3086WS Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),70,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹89,990"
Lenovo LOQ 15IRH8 82XV00F5IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),70,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹88,990"
Asus Vivobook 15 X1502ZA-EJ523WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),60,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹48,990"
Asus Zenbook 14X OLED 2023 M5401QA-KM541WS Laptop (Ryzen 5 5600H / 16GB/ 512GB SSD/ Win11 Home),64,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,AMD Radeon AMD,Windows 11 OS,"14 inches, 2880 x 1800 pixels",1 Year Warranty,"₹55,990"
Dell Inspiron 5520 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),71,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹67,999"
HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),70,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 1920 x 1080 pixels, Touch Screen",1 Year Warranty,"₹79,990"
Asus VivoBook 15 X515EA-EJ522WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹43,990"
HP 15s-fq2673TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),58,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹34,990"
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),65,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7 Graphics,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹50,990"
Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),56,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels, Touch Screen",1 Year Warranty,"₹32,990"
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),45,Apple M2 Apple M2 Chip,Octa Core,8 GB Unified Memory RAM,512 GB SSD,10-Core GPU,Mac OS,"13.6 inches, 2560 x 1664 pixels",1 Year Warranty,"₹1,19,990"
Lenovo Legion Pro 5 161IRX9 Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),72,14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,"16 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,49,990"
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),65,Apple M3 Max,16 Cores (12P + 4E),48 GB  RAM,1 TB SSD,40 Core GPU,Mac OS,"16.2 inches, 3456 x 2234 pixels",1 Year Warranty,"₹3,99,900"
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹34,990"
MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph),75,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",32 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",2 Year Warranty,"₹85,990"
Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),57,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹30,990"
Lenovo Legion 9i 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),84,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,1 TB SSD,16 GB NVIDIA GeForce RTX 4090,Windows 11 OS,"16 inches, 3200 x 2000 pixels",1 Year Warranty,"₹3,99,999"
HP Victus 15-fb1015AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),69,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹51,990"
HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB AMD Radeon RX 6500M Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹55,599"
Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),76,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹85,990"
