hotel_name,rating_and_delivery_time,food_type,location,offer
Jain Sweets,4.3 • 36 mins,"Street Food, Maharashtrian",Dattani Centre, 15% OFF UPTO ₹80
UFO Fries & Corn,4.1 • 34 mins,North Indian,Kandivali West, ₹100 OFF ABOVE ₹999
Wtc Pasta,3.9 • 40 mins,"Italian, Snacks, Grill, Beverages, Pizzas, Pastas",Borivali, 
UBQ BY Barbeque Nation,4 • 40 mins,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Kandivali East, 40% OFF UPTO ₹80
Food Costa,3.9 • 23 mins,"Fast Food, Pizzas, Biryani, Mexican, Snacks, Beverages, Burgers","Kandivali (East), Thakur Village", 20% OFF UPTO ₹50
Five Star,4.5 • 23 mins,"Fast Food, Burgers, Snacks",Malad Kan East, 
Arihant Dugdhalay,4.4 • 25 mins,"Desserts, Sweets",Borivali, 
Al Arabian Shawarma,2.7 • 25 mins,"Arabian, Lebanese, Kebabs, Salads, Beverages, Middle Eastern",Kandivali East, 
Bombay Sultaani Biryani House,4 • 31 mins,"Indian, Biryani",Malad Kan East, 60% OFF UPTO ₹120
East Asia - Indian | Asian | Continental,4.2 • 42 mins,"Chinese, Italian, Thai, Asian, Indian, Tandoor, Continental, Sushi, Pizzas, Salads",Borivali West, 
Joey's Pizzeria-Kandivali (E),3.7 • 44 mins,"Pizzas, Chinese, Desserts, Burgers, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100
The Chocolate Heaven,4.1 • 34 mins,"Desserts, Italian, Snacks",Borivali West, ₹175 OFF ABOVE ₹449
Pavbhaji Bistro,4.3 • 29 mins,"Indian, Fast Food",Kandivali East, 
New Wanton Point,4.4 • 24 mins,"Indian, Chinese",Kandivali East, 40% OFF UPTO ₹80
Delicacy Of Mewar,3.8 • 41 mins,Snacks,Malad Kan East, 10% OFF ABOVE ₹1000
Ek Bihari - The Bihar Diaries,3.7 • 35 mins,"Indian, Seafood","Kandivali East, Thakur Village", 50% OFF UPTO ₹100
Yamu's Panchayat,4.9 • 16 mins,Paan,Malad Kan East, 
Vividh NX,4.4 • 35 mins,"Chinese, Oriental, Indian",Kandivali East, 10% OFF UPTO ₹40
Kumar's Cafe,3.2 • 26 mins,"Beverages, South Indian",Borivali, 
Makhani Darbar,23 mins,"North Indian, Kebabs, Mughlai, Beverages, Desserts",Thakur Village, 50% OFF UPTO ₹100
Baskin Robbins Happyness Shakes,3.8 • 27 mins,"Beverages, Desserts",Kandivali East, 30% OFF UPTO ₹75
Pizza Town,3.9 • 27 mins,"Pizzas, Beverages, Italian",Malad Kan East, 30% OFF UPTO ₹75
Jugheads,4.2 • 30 mins,"Continental, Chinese, North Indian, American",Kandivali East, 10% OFF UPTO ₹40
Mahakali Fast Food & Juice Centre,4.4 • 33 mins,"Indian, South Indian, Beverages, Awadhi",Borivali West, 10% OFF ABOVE ₹600
Aakash,3.9 • 29 mins,"Desserts, Snacks",Kandivali West, 
Gupta Bhelpuri House,4.2 • 41 mins,"Snacks, Chaat",Kandivali West, 
Gaonthan The Family Restaurant,4.3 • 36 mins,"North Indian, Chinese, Biryani",Malad Kan East, 15% OFF UPTO ₹45
The Avenue,4.5 • 33 mins,"North Indian, Chinese, Tandoor, Indian, Seafood",Malad Kan East, 
Souffle Cake Shop,3.8 • 25 mins,Bakery,Borivali West, 10% OFF ABOVE ₹700
Spring Fields,4.5 • 40 mins,"North Indian, Chinese, Italian",Borivali, 30% OFF UPTO ₹75
Sheetal Dugdhalay,4.7 • 33 mins,Sweets,Malad Kan East, 
WA! Wok (Delicious Chinese),4.3 • 39 mins,"Chinese, Oriental, Asian, Burmese, Thai",Dahisar, 
One Minute chai Nashta,4.5 • 27 mins,"Bengali, Snacks, Street Food",Borivali, 
Kuku's,4.2 • 33 mins,Chinese,Borivali West, ₹100 OFF ABOVE ₹999
RTC - Rolls And Fried Chicken,4.2 • 38 mins,"Snacks, Fast Food, North Indian, Street Food",Dahisar West, ₹175 OFF ABOVE ₹449
Biryani Barbeque Chinese (BBC-Babhai Naka),4.5 • 35 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, 
Gokul Anand,4.5 • 33 mins,"North Indian, Chinese, Beverages, South Indian",Borivali, 
Tuba Restaurant,4.1 • 39 mins,"Chinese, North Indian, Biryani, Indian, Sweets, Salads, Snacks",Malad Kan East, ₹150 OFF ABOVE ₹499
The Veg Treat Express,4.5 • 36 mins,"North Indian, Indian, Chinese, Italian, Mexican, Desserts",Borivali West, 10% OFF ABOVE ₹1000
Pushti Tushti,4.4 • 38 mins,Indian,Borivali West, ₹175 OFF ABOVE ₹449
MM Mithaiwala.,4.3 • 39 mins,"Sweets, Snacks, Bengali",Malad Kan East, ₹175 OFF ABOVE ₹449
Anhad Misal,4.1 • 38 mins,"Snacks, North Indian",Borivali, ₹100 OFF ABOVE ₹499
Classic Pure Veg,4.4 • 38 mins,"North Indian, Chinese",Dahisar East, 10% OFF ABOVE ₹1500
SNS Mexican Shack,4.4 • 59 mins,"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food",Malad Kan West, ₹100 OFF ABOVE ₹999
Stacks And Racks,4.6 • 56 mins,American,Malad Kan West, 
Marathi Mejwani,4.3 • 43 mins,"Indian, South Indian, Seafood",Dahisar, 
Gupta Bhelpuri And Sandwich Corner,4.2 • 41 mins,Fast Food,Borivali West, 
Sanata Snacks,4.3 • 46 mins,"Maharashtrian, Snacks, Beverages",Dahisar West, 
Mm Mithaiwala Fast Food,4.4 • 44 mins,"Fast Food, South Indian, Indian, Snacks, Beverages",Malad Kan West, 15% OFF ABOVE ₹800
Hotel Gopal Krishna,4.5 • 46 mins,South Indian,Malad Kan West, ₹100 OFF ABOVE ₹999
Satkar Rice Plate House,4.6 • 53 mins,"Maharashtrian, Malwani, Seafood, Biryani",Goregaon East, 10% OFF ABOVE ₹1500
Cafe Shalimar,3.9 • 44 mins,"North Indian, Biryani, Desserts, Beverages",Malad, ₹100 OFF ABOVE ₹599
Arabian Shawarma Cafe,4.2 • 43 mins,"Arabian, Lebanese, Snacks",Borivali, ₹250 OFF ABOVE ₹999
China Hunt,4.2 • 48 mins,"Chinese, North Indian, Tandoor",Malad East, 20% OFF UPTO ₹100
Hotel Sai Palace Grand,4.5 • 58 mins,"North Indian, Chinese, Biryani, Desserts, Continental, Mangalorean, Seafood, Italian, Fast Food",Malad West, 
Khaas Paratha,4.4 • 45 mins,North Indian,Dahisar West, 
Nischita Nxt,4.4 • 51 mins,"Biryani, Chinese, North Indian, Seafood",Borivali West, ₹100 OFF ABOVE ₹999
Foodgerk - The Diet Parlour,4.3 • 52 mins,"Continental, Salads",Malad West, ₹150 OFF ABOVE ₹499
Jay Prakash Bar & Restaurant,4.2 • 55 mins,"Indian, Chinese",Goregaon, ₹175 OFF ABOVE ₹449
YUI,4.4 • 50 mins,"Asian, Japanese",Borivali West, ₹175 OFF ABOVE ₹999
Sai Veg World Xpress,4 • 51 mins,"South Indian, North Indian",Malad Kan West, ₹175 OFF ABOVE ₹449
Dessert Therapy,4.6 • 46 mins,"Cakes and Pastries, Desserts, Beverages, Bakery",Kandivali West, 
Sammy Sosa,4.4 • 57 mins,"Mexican, Asian",Malad West, ₹175 OFF ABOVE ₹899
Suka Sukhi,4.4 • 50 mins,"Maharashtrian, Malwani",Jog Gor East, 
Queen Margherita's Pizzeria,4.3 • 61 mins,"Pizzas, Italian-American",Malad Kan West, 
Curry and Combo Twist (Pure Veg),4.3 • 44 mins,Indian,Mum_Jog Gor East, 
The Red Turtle - Pan Asian Bistro,4.4 • 57 mins,"Pan-Asian, Chinese, Thai, Japanese, Singaporean",Malad West, 
The Veg Treat Royal,4.5 • 42 mins,"North Indian, Indian, Chinese, Continental, South Indian",Borivali, 
Mangoes,4.4 • 61 mins,"Mangalorean, Goan",Malad Kan West, 
Rangrezz Desi Restobar,4.4 • 43 mins,North Indian,Borivali West, 
Bansi Vadapav,4.2 • 41 mins,Fast Food,Malad West, 
Mumbaikar S Food House,4.3 • 61 mins,"Indian, Thalis",Malad Kan West, 
Vivek Chinese corner,4.4 • 44 mins,Chinese,Borivali West, 10% OFF ABOVE ₹1300
Pranayam (Pure Veg),4 • 47 mins,"North Indian, South Indian, Snacks",Borivali, ₹125 OFF ABOVE ₹249
Grab Some Momos Here,4.5 • 42 mins,"Tibetan, Chinese",Borivali, 
Peco Peco,4.4 • 48 mins,"Chinese, Asian, Thai",Malad West, 
Meetha By Radisson,4.6 • 54 mins,Desserts,Goregaon West, 10% OFF UPTO ₹40
Rasodu - The Ethnic Kitchen,4.3 • 44 mins,"Indian, Thalis, Beverages",Malad Kan West, 
Kake Da Hotel (Since 1931),4.2 • 53 mins,"North Indian, Tandoor, Punjabi",Jogeshwari West, 15% OFF ABOVE ₹800
# Thali,4.5 • 52 mins,"North Indian, Chinese",Borivali, ₹175 OFF ABOVE ₹449
Sernyaa,4.5 • 56 mins,"Tibetan, Chinese",Ashok Enclave, 10% OFF ABOVE ₹900
Udipi Vihar (pure veg) restaurant,4.4 • 50 mins,"Chinese, North Indian, South Indian, Tandoor, Biryani, Desserts",Jog Gor East, 
Shubh Sagar Restaurant,4.4 • 52 mins,"Chinese, North Indian, South Indian",Mira Road, 
Ruchi Veg Restaurant,4.1 • 46 mins,"South Indian, North Indian, Chinese, Tandoor, Biryani, Juices, Beverages, Mughlai, Home Food, Healthy Food, Italian, Mexican",Goregaon, 10% OFF ABOVE ₹900
Jango's,4.2 • 55 mins,"Chinese, North Indian, Biryani, Kebabs",Malad West, ₹100 OFF ABOVE ₹749
Konkan Chilly,4.3 • 56 mins,"Konkan, North Indian, Chinese, Tandoor, Malwani",Chincholi Bunder, 10% OFF ABOVE ₹1000
Flavours Of China (Evershine Nagar),4.2 • 51 mins,Chinese,Malad Borivali Area, ₹100 OFF ABOVE ₹999
Landmark Kitchens,4.4 • 56 mins,"Indian, Snacks, Pizzas, Chinese",Goregaon, 
"Desi Shack- Acha Khao, Acha Khilao- By om snacks",4.1 • 43 mins,"Indian, Fast Food, Snacks, Italian, Chinese, Beverages",Jog Gor East, 
Malgudi - Veg & Non-Veg Family Restaurant,4.1 • 48 mins,"North Indian, Chinese, South Indian, Malwani",Borivali West, ₹175 OFF ABOVE ₹449
Shiv Sagar Malad,4.2 • 48 mins,"Indian, Chinese",Malad West, 10% OFF ABOVE ₹1200
Lalit Bakery,4.3 • 51 mins,"Bakery, Desserts, Italian",Borivali, 
Namaskar The Family Restaurant,4.4 • 49 mins,"North Indian, Chinese, Maharashtrian, Biryani",Borivali East, 
Green Tadka,4.4 • 51 mins,Indian,Goregaon West, 
Stir Fry Grill,4.3 • 48 mins,"Chinese, Continental, Indian, Thai, Healthy Food, Pan-Asian",Malad West, ₹175 OFF ABOVE ₹449
Deepak Only Veg,4.4 • 49 mins,"South Indian, Chinese, Indian",Mumbai, 10% OFF ABOVE ₹600
Gulistan Family Restaurant,4.1 • 43 mins,Chinese,Malad West, 10% OFF ABOVE ₹1300
Keto Treats,4.4 • 52 mins,"Keto, Bakery, Ice Cream, Desserts",Evershine nagar, 10% OFF ABOVE ₹900
Hotel Apala samadhan,4.4 • 49 mins,"Malwani, Indian, Chinese",Borivali West, 
Ravindra Restaurant,4.5 • 43 mins,"North Indian, South Indian, Chinese, Pizzas",Dahisar East, 
Apricot foods,4.5 • 43 mins,"Sweets, Fast Food, Chaat, Snacks, Desserts, Gujarati, Maharashtrian",Borivali West, ₹100 OFF ABOVE ₹999
Sattvik Tiffin Co,4.4 • 44 mins,"North Indian, Chinese",Jog Gor East, 
Govindas Veg Treat,4.3 • 45 mins,"North Indian, Chinese, Beverages, South American",Malad West, 10% OFF ABOVE ₹700
The Delhi Spice,4.2 • 46 mins,"Biryani, Chinese, North Indian",Jog Gor East, 
Hotel National,3.9 • 43 mins,"North Indian, Chinese",Kandivali West, ₹100 OFF ABOVE ₹999
The Burrow Cafe,4.4 • 53 mins,"Pastas, Continental",Malad West, 10% OFF ABOVE ₹900
Saundha,4.1 • 57 mins,"North Indian, Biryani, Kebabs, Chaat, Beverages",Malad Kan West, 
Raju Pav Bhaji,4 • 40 mins,Chinese,Mumbai, ₹100 OFF ABOVE ₹749
Cha - Ya its cup of tea,4.5 • 40 mins,"Beverages, Snacks",Borivali, 20% OFF ABOVE ₹500
Coffee By Di Bella Exclusive,4.4 • 50 mins,"Desserts, Beverages, Fast Food, Waffle, Snacks, Bakery",Malad West, 10% OFF ABOVE ₹800
Jagtap Missal,3.8 • 34 mins,"Snacks, Indian",Borivali, 
Nafees Biryani,4.2 • 38 mins,Mughlai,Malad East, 30% OFF UPTO ₹150
R K Ladoowala,3.8 • 36 mins,"Indian, Sweets, Desserts",Dahisar, 10% OFF UPTO ₹100
Biryani-Holic,4 • 38 mins,"Biryani, Indian",Malad East, 30% OFF UPTO ₹150
The Green Kitchen,4.3 • 39 mins,"Fast Food, Indian, Chinese, Continental, Tandoor, Pizzas, South Indian, Mexican",Borivali, 
"Bindaas Binge ( Cakes, Pastries & More )",4.4 • 38 mins,"Bakery, Desserts, Sweets",Malad East, 
Anytime Misal,4.1 • 37 mins,"Street Food, Beverages, Desserts",Borivali, 
Andawala,4.2 • 33 mins,"Fast Food, Street Food",Borivali West, 
Chatako The Gujju's,4.4 • 38 mins,Gujarati,Dahisar East, 
Aditi Fast Food,4 • 63 mins,"Street Food, Indian, Chinese, Beverages",Malad Kan West, 
Hotel ShreeDevi,4.5 • 41 mins,"Indian, Chinese, Punjabi",Malad West, 
Thepla Junction,45 mins,Snacks,Kandivali West, 
The Daily Deli,4.3 • 60 mins,"Continental, American, Pizzas, Pastas, Beverages, Desserts",Malad West, ₹100 OFF ABOVE ₹749
Cherry's Kitchen,3.9 • 56 mins,"Indian, Kerala",Malad West, 
Annapurna Healthy Kitchen,4.5 • 66 mins,"Gujarati, Thalis",Kandivali West, 
Divya Chinese corner,4.3 • 40 mins,"Chinese, Indian",Dahisar East, 20% OFF ABOVE ₹700
Medha malvan,4.2 • 59 mins,Malwani,Goregaon, 15% OFF ABOVE ₹800
Vedant Snacks Corner,4.1 • 54 mins,"South Indian, Beverages, North Indian, Juices",Dahisar West, ₹125 OFF ABOVE ₹999
Noor Biryani Center,3.7 • 44 mins,"Biryani, Mughlai, North Indian, Indian, Tandoor, Punjabi, Snacks, Desserts",Borivali West, 30% OFF UPTO ₹150
Dada's Chinese Kitchen,4.2 • 49 mins,Chinese,Malad Kan East, 25% OFF UPTO ₹125
Sun Moon & Potatoes,4.2 • 58 mins,"Continental, Chinese, Salads, Asian",Malad West, ₹175 OFF ABOVE ₹449
Arabian Shawarma by Rudy's,4.2 • 41 mins,"Lebanese, Arabian, Salads",Borivali West, ₹100 OFF ABOVE ₹999
Fakth Chicken,4.4 • 55 mins,"Indian, Snacks",Malad West, 10% OFF ABOVE ₹800
Jalaram Kathiyawadi Thali,4.3 • 45 mins,Gujarati,Borivali, 
Samant Bandhu Nx,4.4 • 43 mins,"Desserts, Snacks, Sweets, Beverages",Goregaon West, 
Silver Oaks,4.4 • 54 mins,"North Indian, Mughlai, Chinese, Continental",Malad West, 
Jai Bholenath Kathiyawadi,4.1 • 49 mins,"Thalis, Gujarati, Jain",Dahisar East, 
Cafe meter on,4.4 • 51 mins,"Italian, Indian, Chinese, Continental",Borivali West, ₹100 OFF ABOVE ₹999
Choclato,4 • 41 mins,"Desserts, Bakery",Dahisar West, 
Cafe Lajawab,4 • 53 mins,"Arabian, Snacks",Malad Kan West, 40% OFF UPTO ₹200
Mary Fast Food,4.4 • 47 mins,"Chinese, Fast Food",Malad Kan West, 
Satyanarayan Lunch Home,4.3 • 46 mins,"Chinese, Indian",Jog Gor East, 
Uttar Da Puttar,4.1 • 53 mins,"North Indian, Indian, Punjabi, Biryani",Goregaon, 15% OFF ABOVE ₹800
Alfredo's,4.1 • 55 mins,"Italian, European",Malad Kan West, 10% OFF ABOVE ₹1000
Al-Falah Shawarma,4.4 • 51 mins,Lebanese,Borivali West, 
Mothers Touch Rajasthani,4.1 • 81 mins,"Indian, Snacks",Malad West, ₹250 OFF ABOVE ₹999
Cravings all day,4.7 • 44 mins,"Bakery, Desserts",Goregaon West	, ₹125 OFF ABOVE ₹349
Big Fat Monk,4.1 • 53 mins,"Chinese, Asian, Fast Food, Desserts, Beverages",Malad West, ₹175 OFF ABOVE ₹449
44 The Food Hub,4.4 • 54 mins,"Chinese, South Indian",Malad Kan West, 10% OFF ABOVE ₹700
Radha Krishna Fast Food - Mahavir Nagar,4.1 • 40 mins,"Indian, Chinese",Kandivali West, 
Aniket Chinese Corner,3.5 • 28 mins,"Chinese, North Indian, Biryani",Malad Kan West, 
Jungle Juice,4.5 • 29 mins,"Beverages, Juices",Borivali, 
Indore.Online,4.3 • 14 mins,"Sweets, Street Food",Malad Kan East, 
Rolls Mania,4.3 • 46 mins,Fast Food,Malad East, 
Vinayak Ankit Sandwich,4.4 • 51 mins,"Snacks, Continental",Kandivali West, 15% OFF ABOVE ₹500
Hari Om Khaman House,4.4 • 32 mins,"Gujarati, Snacks, Sweets",Borivali, 
Fusion Ice Cream Cakes,4.5 • 30 mins,"Ice Cream, Desserts, Bakery, Beverages",Borivali West, ₹100 OFF ABOVE ₹999
Hotel Milan Pure Veg,4.2 • 35 mins,Indian,Malad East, ₹175 OFF ABOVE ₹449
TIBO Dalwada,4.6 • 34 mins,"Street Food, Desserts",Kandivali West, 
Brain Freeze Ice cream & Desserts,3.8 • 33 mins,"Ice Cream, Desserts",Borivali, 
Farmhouse-Palladium,4.3 • 53 mins,"Indian, Tandoor, Chinese, Continental, Biryani, Seafood, Pizzas, Pastas",Borivali West, 
Amantran Restaurant,4.2 • 47 mins,Meat,Dahisar, 
Monopoly-The Chinese Edition,3.9 • 44 mins,"Chinese, Oriental, Continental",Borivali West, 
Dinshaw's Xpress Cafe And Restro,4.5 • 48 mins,"Indian, Continental, Mexican, Pizzas, Pastas, Burgers, Snacks, Fast Food, Beverages, Juices, Ice Cream, Desserts",Borivali West, 
The Nature Bar,4.4 • 51 mins,"Salads, Keto, Burgers, Beverages, Mediterranean, American, Healthy Food, Grill, Greek",Jog Gor East, ₹100 OFF ABOVE ₹999
Aakash Sweets and Snacks,4.4 • 30 mins,"Sweets, Snacks",Borivali West, 
Nagpal's Choley Bhature,4.1 • 36 mins,North Indian,Malad Kan East, 
Mumbadevi Jalebi Wala,4.6 • 36 mins,"Snacks, Sweets",Borivali, ₹50 OFF ABOVE ₹999
Chhotu's Kitchen,4.2 • 33 mins,Chinese,Borivali West, 
Desai Bhaishankar Gaurishanar (K.P.),4.8 • 34 mins,Sweets,Malad Kan East, 10% OFF ABOVE ₹700
Shree Makhan Bhog,4.1 • 38 mins,"Chaat, Snacks, Sweets",Malad, 
Shawarma Heaven,4.3 • 38 mins,"Lebanese, Chinese, Indian, Continental, Tandoor",Malad West, 15% OFF ABOVE ₹900
Sattva,4.4 • 35 mins,"North Indian, Chinese",Borivali West, ₹100 OFF ABOVE ₹999
Seeta Nx,4.3 • 39 mins,Chinese,Borivali West, 
Night Evil Chinese Food,4.1 • 38 mins,Chinese,Borivali West, 
Bhoomi Kolhapuri,4 • 30 mins,Street Food,Raja Dalvi Marg, 
Hotel Payal,4.3 • 38 mins,"Indian, Chinese",Dahisar, 
Fling Confectionery,4.4 • 31 mins,"Bakery, Desserts",Borivali, 
Pipasa,4.4 • 30 mins,"Beverages, Snacks",Borivali, 
Dessert Junction,4.3 • 36 mins,"Desserts, Fast Food",Borivali West, 
Bina's Fresh Batch Homemade Ice Cream,4.2 • 49 mins,"Desserts, Ice Cream",Malad Kan West, ₹175 OFF ABOVE ₹1099
Samvene - The Bagel Cafe,4.5 • 55 mins,"American, Burgers, Italian, Continental, Pizzas, Pastas, Beverages, Snacks",Malad West, 15% OFF ABOVE ₹900
Wokstreet,3.5 • 59 mins,"Chinese, Fast Food",Malad Kan West, ₹250 OFF ABOVE ₹999
Moments,4.5 • 51 mins,"Bakery, Desserts",Malad Kan West, 
Hotel Malvan Katta,4.2 • 44 mins,Biryani,"VIthbhati, Goregoan (East) 3)", 
Sindhi Tadka,3.6 • 42 mins,"Sindhi, North Indian, Indian",Kandivali West, 
Kokan Katta,4.2 • 57 mins,"Seafood, Chinese, Indian, North Indian, Beverages, Biryani",Chincholi Bunder Road, ₹175 OFF ABOVE ₹449
The Fusion Kitchen,4.5 • 49 mins,"Italian, Asian",Borivali West, 
Oriental Stir Fry,3.8 • 45 mins,"Fast Food, Chinese, South Indian, Indian",Borivali, 
Zesty Kitchen,4.1 • 62 mins,"Indian, Seafood, North Indian, Biryani, South Indian, Bengali, Malwani",Goregaon, 15% OFF ABOVE ₹900
Konkan Spice,4 • 52 mins,"South Indian, Malwani",Malad West, 
Chholay,4.3 • 51 mins,"North Indian, Indian, Jain",Malad West, ₹175 OFF ABOVE ₹449
British Brewing Company,4.3 • 53 mins,"Italian, American, Indian, Asian",Goregaon East, 
Zoodles,4.6 • 59 mins,"Pan-Asian, Chinese, Seafood, Thai, Asian, Desserts",Malad West, ₹125 OFF ABOVE ₹249
Shawarma House Express,4.1 • 47 mins,"Indian, Beverages, Turkish",Malad Kan West, 
Hotel Jyoti,4.1 • 43 mins,Indian,Malad Kan East, 
Ahare Bangla,4.8 • 69 mins,Bengali,Malad Kan East, 
Classic Veg Restaurant,4.3 • 43 mins,Chinese,Malad Kan East, 
The Boston Cafe & Patisserie,4.5 • 51 mins,"Desserts, Bakery",Malad West, 20% OFF UPTO ₹50
Makhan Maar ke,4.1 • 43 mins,North Indian,Borivali West, 
Amber Restaurant,4.1 • 44 mins,"Chinese, Indian, Tandoor",trikamdas road , ₹50 OFF ABOVE ₹499
The Bombay Chaat Co by Spukies,4.3 • 47 mins,"Chaat, South Indian, Juices, Beverages",Jog Gor East, 10% OFF ABOVE ₹800
Only Roti's,4.5 • 68 mins,Desserts,Malad West, 30% OFF UPTO ₹150
Om Snacks,4.5 • 49 mins,"Pizzas, Pastas",Goregaon, 
Golden Leaf Restaurant,4.4 • 50 mins,"Chinese, Street Food, South Indian",Kandivali West, ₹100 OFF ABOVE ₹749
The Local Eatery,4.3 • 50 mins,"Indian, Chinese",Malad West, 
Nityanand Lunch Home And Hotel,3.8 • 47 mins,"Biryani, Tandoor, Chinese",Jog Gor East, 10% OFF ABOVE ₹1000
Street Gourmet,4.1 • 40 mins,"South Indian, Indian, Chinese",Borivali West, 
Spirit Kitchen and Bar,4.4 • 54 mins,"Indian, Chinese",Borivali West, 
Hotel Shree Prabhu Niketan,4.3 • 41 mins,"Indian, Chinese",Malad East, 
Image Restaurant,4.5 • 55 mins,"North Indian, Chinese, Kebabs, Biryani, Mangalorean, Desserts, Tandoor",Goregaon West, 
J.B.Dynasty And Malwani Kalwan,4.4 • 48 mins,"Chinese, Malwani, Indian, Oriental",Malad West, 10% OFF ABOVE ₹1500
The Mak Broasted Fastfood,3.6 • 63 mins,"Continental, Italian",Malad Kan East, ₹175 OFF ABOVE ₹449
The Veg Treat Celebrations,4.5 • 41 mins,"South Indian, Punjabi, Chinese, Italian, Mexican",Dahisar, 
Uncle's Corner,4.4 • 61 mins,"Chinese, Tandoor, Seafood, Thai, Biryani, Indian",Borivali, 
Enrich Kulfi,4.6 • 40 mins,"Desserts, Ice Cream",Malad West, ₹100 OFF ABOVE ₹999
Fort Kochi,4.2 • 53 mins,"South Indian, Kerala",Goregaon, 
Samarth Sagar (Pure Veg),4.1 • 50 mins,"Chinese, North Indian, South Indian, Chaat",Mumbai, 
Schumania,4.3 • 52 mins,"Indian, Chinese",Borivali, ₹100 OFF ABOVE ₹999
Rollzilla,4.2 • 43 mins,North Indian,Kandivali West, 
Healing Rice Bowls,3.9 • 62 mins,"Indian, South Indian, Punjabi",Malad West, 
The Big Squeeze,4.1 • 54 mins,"Juices, Healthy Food, Beverages",Malad West, ₹40 OFF ABOVE ₹499
"KBC - Kebaabs, Biryani, Curries",4.2 • 53 mins,"Kebabs, Biryani, North Indian, Indian, Snacks",Goregaon East, ₹125 OFF ABOVE ₹249
The Chai Fusion,4.3 • 48 mins,"Chinese, Continental",Borivali, 10% OFF UPTO ₹100
Ether Atelier Chocolate,48 mins,"Desserts, Bakery",Malad Kan West, 50% OFF UPTO ₹100
Bombay Fast Food,43 mins,Fast Food,Borivali, 
Cake Valley,4 • 50 mins,"Bakery, Desserts, Beverages",Malad Kan West, 30% OFF UPTO ₹150
Cake & Bake,3.3 • 42 mins,Bakery,Borivali West, 
The Lunchbox,42 mins,"Indian, Thalis",Malad Kan East, 
Hotel Samadhan,4.3 • 59 mins,"Malwani, Maharashtrian, Indian",Jog Gor East, 
The Waffle Man From the House Of Cookieman,4.1 • 58 mins,"Waffle, Desserts, Ice Cream",Malad Kan West, 40% OFF UPTO ₹80
Sigree Global Grill,4.3 • 64 mins,"North Indian, Mughlai, Kebabs, Mediterranean, Greek, Turkish, Lebanese",Malad West, ₹150 OFF ABOVE ₹1099
Only Parathas,3.8 • 60 mins,"North Indian, Thalis, Chaat, Chinese, Snacks, Beverages",Malad West, 
The King's Field,4.4 • 31 mins,"Indian, Chinese, Tandoor, Snacks",Malad Kan East, 
Nagrik Sweets And Farsan,4.5 • 35 mins,Indian,Dahisar, 
Rashmin Dairy Farm,4.1 • 32 mins,Indian,Malad Kan East, 
Bbc Express-By Borivali Biryani Centre,4.4 • 35 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali, 
Emrik The Cake Point,4.5 • 34 mins,"Bakery, Snacks, Desserts",Malad Kan West, ₹175 OFF ABOVE ₹449
Gayatri Sweets and Farsan,4.4 • 35 mins,"North Indian, Fast Food, South Indian, Sweets",Borivali, 
Riga Chinese Corner,4.2 • 37 mins,"Chinese, Indian",Dahisar, 
Magari,4.2 • 34 mins,"Continental, Italian, Beverages",Kandivali West, ₹100 OFF ABOVE ₹999
shaan hotel,3.8 • 37 mins,"North Indian, Indian",Malad Kan East, 50% OFF ABOVE ₹1000
Brijwasi Sweets and Snacks,3.9 • 36 mins,Sweets,Kandivali West, ₹100 OFF ABOVE ₹749
Pav Bhaji Klub,4.3 • 36 mins,Indian,Borivali, ₹150 OFF ABOVE ₹749
Tasty Chinese Hotel,4.5 • 36 mins,Chinese,Malad Kan East, 30% OFF UPTO ₹150
Wow Bistro - Evershine Club,4.8 • 46 mins,Indian,Kandivali East, 
H & Charlie,4.3 • 58 mins,"Burgers, Steakhouse, Desserts, Beverages, Cafe, Fast Food, Pastas",Borivali West, ₹175 OFF ABOVE ₹449
Royal Manglore,4 • 51 mins,Meat,Dahisar, 
Healthy Deck,4.4 • 46 mins,"Continental, Beverages, Keto, Ice Cream, Salads",Kandivali West, 15% OFF UPTO ₹100
Delhi Darbar Biryani Hub,4.1 • 44 mins,"Biryani, North Indian",Malad Kan East, 
Burgizza,4.4 • 56 mins,"Pizzas, Italian",Malad West, ₹100 OFF ABOVE ₹749
Celebrations By Kilo,3.9 • 52 mins,"North Indian, Chinese",Jog Gor East, 
Houseboat Cafe,3.9 • 56 mins,"Kerala, South Indian",Malad Kan West, 
Veg Treat Regalia,4.5 • 42 mins,"North Indian, Indian, Chinese, Continental",Borivali West, 
Oh! It's Fishy,3.9 • 49 mins,"Indian, Tandoor, Seafood, Chinese",Dahisar East, 
Brijwasi Snack Foods,4.4 • 54 mins,"Snacks, Street Food, Chaat, Fast Food",Malad Kan West, 20% OFF UPTO ₹120
Daffodils 23,4.4 • 44 mins,"Indian, Chinese, Beverages, Mexican, Continental",Kandivali West, ₹125 OFF ABOVE ₹599
Sumeruu,4.6 • 52 mins,"Chinese, Indian",Dahisar West, 
Malvaniz,4.1 • 57 mins,"Malwani, Seafood",Malad Kan East, 
